=== pile(k=4, random_pickup=True) ===
-- trials=200 --
steps=10 | KS=0.541 | Hpos=4.532 (79.5%) | inv_mean=645.5
steps=11 | KS=0.465 | Hpos=4.826 (84.7%) | inv_mean=649.8
steps=12 | KS=0.387 | Hpos=5.085 (89.2%) | inv_mean=655.9

=== overhand(p=0.50) (long schedule) ===
steps=   10 | KS=0.722 | Hpos=3.612 | inv_mean=158.0 | runs_mean=24.49
steps=   20 | KS=0.629 | Hpos=4.156 | inv_mean=223.5 | runs_mean=25.15
steps=   50 | KS=0.441 | Hpos=4.876 | inv_mean=337.2 | runs_mean=25.83
steps=  100 | KS=0.321 | Hpos=5.316 | inv_mean=443.8 | runs_mean=26.04
steps=  200 | KS=0.164 | Hpos=5.586 | inv_mean=560.0 | runs_mean=26.32
steps=  500 | KS=0.028 | Hpos=5.662 | inv_mean=648.1 | runs_mean=26.45
steps= 1000 | KS=0.023 | Hpos=5.676 | inv_mean=661.4 | runs_mean=26.40
steps= 2000 | KS=0.026 | Hpos=5.661 | inv_mean=665.2 | runs_mean=26.49
steps= 5000 | KS=0.037 | Hpos=5.658 | inv_mean=663.7 | runs_mean=26.58
steps= 8000 | KS=0.020 | Hpos=5.677 | inv_mean=662.9 | runs_mean=26.52
steps=10000 | KS=0.031 | Hpos=5.672 | inv_mean=660.7 | runs_mean=26.46
steps=15000 | KS=0.016 | Hpos=5.677 | inv_mean=666.4 | runs_mean=26.52
steps=20000 | KS=0.023 | Hpos=5.681 | inv_mean=661.1 | runs_mean=26.47
steps=30000 | KS=0.016 | Hpos=5.676 | inv_mean=662.4 | runs_mean=26.41

=== Timing (seconds per shuffle application) ===
riffle(cut_p=0.50)                       : 9.620e-06 sec/shuffle
overhand(p=0.50)                         : 7.334e-06 sec/shuffle
pile(k=7, random_pickup=True)            : 3.694e-06 sec/shuffle
